perturbagen	down-imputed	down-measured	up-imputed	up-measured
4485	0	8	2	1
4486	36	55	20	36
4487	1	9	1	0
4488	0	11	1	2
4494	0	10	0	4
4507	3	19	3	6
4522	6	14	0	2
4547	5	22	6	4
4548	3	3	2	1
4552	2	10	5	2
4582	1	2	2	0
4594	2	9	0	5
4598	0	2	2	3
4601	3	23	3	3
4602	11	28	12	20
4605	46	57	26	33
4609	485	226	515	251
4610	4	16	2	4
4613	64	52	92	39
4615	9	16	2	8
4616	17	35	5	14
4637	4	32	3	16
4638	1	12	2	11
4651	9	35	9	19
4664	47	66	42	54
4665	6	30	6	11
4668	9	16	4	4
4671	3	9	1	3
4677	1	6	1	6
4678	14	23	3	5
4680	3	23	2	7
4683	14	21	5	4
4688	1	7	1	0
4691	1	13	2	7
4694	25	62	10	58
4695	3	21	2	10
4696	4	24	6	9
4697	3	27	3	7
4698	113	82	68	52
4700	3	18	6	13
4701	8	14	2	6
4702	0	20	2	9
4704	3	6	2	8
4706	2	11	6	3
4707	2	14	1	2
4708	5	16	0	7
4709	9	34	1	13
4710	2	6	3	1
4711	1	10	3	5
4712	0	13	1	3
4713	8	45	10	10
4714	0	1	4	0
4717	2	8	2	2
4718	6	36	10	7
4719	4	8	0	3
4720	1	13	1	5
4722	4	9	3	11
4723	3	16	2	6
4724	10	29	10	6
4726	5	36	1	13
4728	4	25	1	10
4729	32	43	6	27
4734	5	16	2	8
4750	0	3	0	2
4751	1	15	4	2
4752	0	5	0	0
4758	5	25	2	9
4760	3	2	3	0
4763	10	28	2	10
4771	11	13	2	1
